Class,Accuracy,AUC,Recall,TNR,FPR,FNR
Atelectasis,92.153,75.578,1.692,99.756,0.244,98.308
Cardiomegaly,98.113,77.627,0.0,100.0,0.0,100.0
Consolidation,95.746,76.378,0.0,100.0,0.0,100.0
Edema,98.588,85.052,0.0,99.975,0.025,100.0
Effusion,91.91,81.207,14.766,98.615,1.385,85.234
Emphysema,98.394,73.051,0.84,99.867,0.133,99.16
Fibrosis,98.769,70.681,0.0,100.0,0.0,100.0
Hernia,99.925,83.041,0.0,100.0,0.0,100.0
Infiltration,89.798,67.385,3.017,99.376,0.624,96.983
Mass,95.09,67.396,0.0,99.967,0.033,100.0
Nodule,97.245,70.067,0.0,100.0,0.0,100.0
Pleural_Thickening,99.125,62.77,0.0,100.0,0.0,100.0
Pneumonia,96.764,70.991,0.389,99.961,0.039,99.611
Average,96.278,73.94,1.593,99.809,0.191,98.407
