Class,Accuracy,AUC,Recall,TNR,FPR,FNR
Atelectasis,92.247,70.357,0.0,100.0,0.0,100.0
Cardiomegaly,98.113,67.917,0.0,100.0,0.0,100.0
Consolidation,95.746,71.228,0.0,100.0,0.0,100.0
Edema,98.613,78.913,0.0,100.0,0.0,100.0
Effusion,92.003,71.545,0.0,100.0,0.0,100.0
Emphysema,98.513,56.413,0.0,100.0,0.0,100.0
Fibrosis,98.769,60.239,0.0,100.0,0.0,100.0
Hernia,99.925,80.803,0.0,100.0,0.0,100.0
Infiltration,90.054,65.056,0.0,99.993,0.007,100.0
Mass,95.121,56.015,0.0,100.0,0.0,100.0
Nodule,94.684,55.815,0.0,100.0,0.0,100.0
Pleural_Thickening,97.245,56.047,0.0,100.0,0.0,100.0
Pneumonia,99.125,61.626,0.0,100.0,0.0,100.0
Pneumothorax,96.789,56.91,0.0,100.0,0.0,100.0
Average,96.21,64.92,0.0,100.0,0.0,100.0
